k;p
48609.1;-1051.63
44605.2;-1052.38
206647;-1053.16
465168;-1054.3
709904;-1056.95
839889;-1064.13
821550;-1083.85
789482;-1096.88
845698;-1068.26
788168;-1054.05
587837;-1047.37
321894;-1043.98
102779;-1042.59
24356.4;-1042.66
120313;-1043.94
349414;-1046.29
613566;-1050.03
801423;-1056.58
842824;-1070.89
784793;-1097.81
827344;-1077.66
832453;-1056.86
687636;-1046.86
436602;-1041.06
183637;-1037.65
36751.5;-1036.23
59002.9;-1036.7
240818;-1038.97
504183;-1042.98
736999;-1049.26
844512;-1060.44
809781;-1084.64
796984;-1089.96
846144;-1062.74
765833;-1049.56
549770;-1042.23
283798;-1037.5
80756.5;-1034.69
27688;-1033.79
147388;-1034.87
388435;-1037.95
647731;-1043.24
816579;-1052.11
835974;-1069.94
781035;-1095.84
834140;-1071.45
819183;-1054.04
654537;-1045.85
396627;-1040.99
153415;-1037.81
28882;-1036
76506.2;-1035.66
275811;-1036.97
541331;-1040.24
760337;-1046.42
845372;-1058.78
798194;-1085.6
805976;-1082.8
843673;-1059.35
741361;-1049.9
511871;-1045.78
248241;-1043.57
62612.4;-1042.09
34607.4;-1041.04
176252;-1040.59
426717;-1041.29
679018;-1044.2
828135;-1051.72
827376;-1070.62
781440;-1091.88
838899;-1065.98
803128;-1053.04
620425;-1049.06
358067;-1048.2
126492;-1048.04
24811.4;-1047.5
96696.8;-1046.36
311251;-1045.16
576533;-1045.11
780277;-1048.37
843274;-1059.66
788232;-1086.67
814918;-1075.5
838017;-1055.69
714855;-1049.76
474332;-1049.21
215319;-1050.29
48214.4;-1051.05
44727.2;-1050.61
206347;-1049.05
463692;-1047.4
707011;-1047.63
835959;-1053.33
817408;-1072.69
785440;-1086.45
841564;-1060.01
784857;-1049.41
585939;-1047.36
321363;-1048.54
102968;-1050.28
24303.2;-1051.06
119158;-1050.33
346773;-1048.63
609694;-1047.52
797091;-1049.8
838900;-1061.33
781030;-1087.32
822741;-1068.33
829142;-1049.97
686490;-1044.08
437309;-1043.19
185037;-1044.16
37367.5;-1045.32
57691.7;-1045.78
237265;-1045.45
499036;-1045.11
731574;-1046.56
840152;-1053.64
806643;-1075.17
792016;-1080.49
842027;-1053.73
764707;-1042.37
551459;-1038.1
286739;-1036.91
82807.4;-1037.11
27076.6;-1037.86
143485;-1038.73
382025;-1039.84
640664;-1042.02
810915;-1047.48
832732;-1062.33
777201;-1086.86
828989;-1062.14
817394;-1043.92
656692;-1035.76
401077;-1031.7
157419;-1029.87
29864.7;-1029.59
73184.4;-1030.52
268752;-1032.52
532699;-1035.74
752924;-1041.16
841189;-1052.2
795994;-1077.35
799946;-1074.84
840128;-1049.07
742853;-1036.9
517195;-1030.2
254287;-1026.17
65897.7;-1024.16
32821.3;-1024.06
169263;-1025.8
416626;-1029.28
669225;-1034.78
821761;-1043.93
825115;-1062.95
776817;-1084.89
833564;-1057.76
803317;-1041.09
626048;-1032.57
366024;-1027.26
132546;-1023.96
25509.5;-1022.52
90882.9;-1023.02
300566;-1025.47
564694;-1029.98
771398;-1037.37
839709;-1051.19
786505;-1079.03
808031;-1069.77
835683;-1047.17
719398;-1037.12
483304;-1031.68
224066;-1028.23
52107.3;-1026.14
41209.2;-1025.36
196045;-1026.06
450141;-1028.54
695082;-1033.47
829557;-1043.04
816330;-1064.31
779468;-1081.45
836428;-1054.78
787406;-1041.91
595119;-1036.64
332545;-1034.05
110513;-1032.45
24098;-1031.31
110417;-1030.67
332376;-1030.96
594917;-1033
787216;-1038.55
836261;-1052.3
779048;-1080.23
815349;-1064.9
828648;-1046.32
694523;-1040.17
449977;-1038.58
196138;-1038.39
41294.6;-1038.14
51907.2;-1037.33
223405;-1036.21
482190;-1035.71
718022;-1037.55
834324;-1045.19
806764;-1066.89
784426;-1076.97
837530;-1051.55
770026;-1042.05
564330;-1040.25
300924;-1041.16
91344;-1042.32
25392.2;-1042.45
131397;-1041.27
363816;-1039.49
623195;-1038.76
800485;-1041.91
831269;-1055
774173;-1080.85
821431;-1059.87
819243;-1043.54
668559;-1039.07
417459;-1039.22
170547;-1040.77
33289;-1041.94
64612.1;-1041.87
251046;-1040.68
512619;-1039.47
738111;-1040.38
836358;-1047.64
797028;-1070.18
790838;-1072.22
836817;-1047.21
751398;-1037.85
533911;-1035.51
271261;-1035.99
74945.7;-1037.26
29128.4;-1038.13
153488;-1038.19
394610;-1037.86
649412;-1038.49
811294;-1042.88
825056;-1057.72
772066;-1080.73
826174;-1055.19
807868;-1038.77
641901;-1032.43
385963;-1030.23
147275;-1029.96
27890.6;-1030.53
79074.5;-1031.4
278823;-1032.48
541497;-1034.26
755655;-1038.24
836146;-1048.43
787853;-1073.37
797846;-1068.02
834211;-1043.28
731611;-1032.23
503924;-1026.79
243513;-1024.07
61145.9;-1023.14
35042.4;-1023.63
176411;-1025.33
424546;-1028.22
673483;-1032.78
819694;-1041.08
817853;-1059.78
772561;-1079.73
829588;-1051.99
794917;-1035.64
614921;-1027.37
355689;-1022.46
126294;-1019.72
24899.7;-1018.9
95050.9;-1019.93
306597;-1022.72
568895;-1027.33
770948;-1034.64
834162;-1048.42
779891;-1075.96
804674;-1064.75
829640;-1041.97
710741;-1031.23
474433;-1025.02
217647;-1021.06
49783.2;-1018.9
42868.3;-1018.58
199864;-1020.18
453376;-1023.74
695277;-1029.7
825697;-1040.07
809865;-1061.86
775221;-1077.81
831658;-1050.63
780722;-1036.82
587979;-1030.1
326861;-1026.07
107613;-1023.51
24121.4;-1022.2
112246;-1022.28
334118;-1023.96
594733;-1027.69
784142;-1034.8
830771;-1049.7
773622;-1077.9
810760;-1062.04
823154;-1042.92
688983;-1035.51
445611;-1032.32
193704;-1030.66
40724.3;-1029.53
52330.5;-1028.73
223525;-1028.5
480845;-1029.52
714694;-1033.07
829386;-1042.18
801398;-1064.8
