x;y;z;r
-99.9533;0.000841155;0.00812598;0
-99.9531;0.000846458;0.00816663;0
-99.9528;0.00085178;0.00820737;0
-99.9526;0.000857121;0.0082482;0
-99.9523;0.000862482;0.00828914;0
-99.9521;0.000867862;0.00833016;0
-99.9518;0.000873262;0.00837128;0
-99.9516;0.00087868;0.00841249;0
-99.9514;0.000884118;0.0084538;0
-99.9511;0.000889575;0.00849519;0
-99.9509;0.000895053;0.00853668;0
-99.9506;0.00090055;0.00857826;0
-99.9504;0.000906067;0.00861992;0
-99.9501;0.000911604;0.00866168;0
-99.9499;0.000917162;0.00870354;0
-99.9496;0.000922739;0.00874549;0
-99.9494;0.000928336;0.00878753;0
-99.9491;0.000933953;0.00882968;0
-99.9489;0.00093959;0.00887192;0
-99.9486;0.000945246;0.00891427;0
-99.9484;0.000950922;0.00895671;0
-99.9481;0.000956617;0.00899926;0
-99.9479;0.000962333;0.00904189;0
-99.9476;0.000968068;0.00908462;0
-99.9474;0.000973824;0.00912745;0
-99.9471;0.0009796;0.00917036;0
-99.9469;0.000985396;0.00921336;0
-99.9466;0.000991214;0.00925646;0
-99.9463;0.000997051;0.00929965;0
-99.9461;0.00100291;0.00934295;0
-99.9458;0.00100879;0.00938635;0
-99.9456;0.00101469;0.00942985;0
-99.9453;0.00102061;0.00947345;0
-99.9451;0.00102655;0.00951717;0
-99.9448;0.00103251;0.00956097;0
-99.9445;0.00103849;0.00960488;0
-99.9443;0.0010445;0.00964888;0
-99.944;0.00105052;0.00969297;0
-99.9438;0.00105656;0.00973715;0
-99.9435;0.00106263;0.00978142;0
-99.9432;0.00106871;0.00982578;0
-99.943;0.00107482;0.00987025;0
-99.9427;0.00108095;0.00991481;0
-99.9424;0.0010871;0.00995948;0
-99.9422;0.00109328;0.0100042;0
-99.9419;0.00109947;0.0100491;0
-99.9416;0.00110569;0.0100941;0
-99.9414;0.00111193;0.0101392;0
-99.9411;0.00111819;0.0101844;0
-99.9408;0.00112447;0.0102296;0
-99.9406;0.00113077;0.010275;0
-99.9403;0.0011371;0.0103204;0
-99.94;0.00114344;0.010366;0
-99.9398;0.00114981;0.0104116;0
