x;y;z;r
8.33805;2.45509;13.1833;1.1
5.57823;2.3819;14.9082;1.1
2.78187;2.32461;16.4185;1.1
-0.173401;2.27912;17.7977;1.1
-3.075;2.23367;19.1647;1.1
-5.59602;2.18649;20.474;1.1
-7.44492;2.13993;21.6299;1.1
-8.40567;2.09765;22.5345;1.1
-8.36156;2.06337;23.1108;1.1
-7.30741;2.04009;23.3154;1.1
-5.34904;2.02954;23.1472;1.1
-2.68958;2.03163;22.651;1.1
0.397992;2.04396;21.9193;1.1
3.61897;2.06049;21.1;1.1
6.78584;2.06824;20.4151;1.1
10.0194;2.05838;19.9624;1.1
13.307;2.04383;19.5636;1.1
16.3519;2.03647;19.1165;1.1
18.8308;2.04238;18.6055;1.1
20.4746;2.06434;18.0496;1.1
21.1043;2.10261;17.4838;1.1
20.6527;2.15539;16.9478;1.1
19.1715;2.21922;16.4787;1.1
16.8259;2.28972;16.1025;1.1
13.8743;2.36242;15.8259;1.1
10.6338;2.43442;15.6211;1.1
7.41045;2.50834;15.386;1.1
4.26358;2.5969;14.9294;1.1
1.05372;2.6982;14.308;1.1
-2.05998;2.79418;13.7403;1.1
-4.77814;2.87024;13.3662;1.1
-6.8155;2.91605;13.2687;1.1
-7.95385;2.92549;13.4866;1.1
-8.07158;2.89681;14.0181;1.1
-7.15911;2.83259;14.8252;1.1
-5.32095;2.73919;15.8412;1.1
-2.76464;2.62576;16.9827;1.1
0.222573;2.50251;18.1689;1.1
3.31222;2.37727;19.361;1.1
6.25753;2.24635;20.6635;1.1
9.15237;2.1;22.1926;1.1
12.0425;1.95169;23.7503;1.1
14.7213;1.82228;25.0888;1.1
16.9356;1.72929;26.0177;1.1
18.4649;1.68542;26.4069;1.1
19.1572;1.69757;26.1923;1.1
18.9512;1.76632;25.3791;1.1
17.8848;1.88602;24.0382;1.1
16.0926;2.04562;22.2952;1.1
13.7935;2.23036;20.3095;1.1
11.2703;2.42462;18.2389;1.1
8.82803;2.61888;16.1507;1.1
6.5652;2.82207;13.8989;1.1
4.32688;3.03471;11.5098;1.1
2.15701;3.2355;9.27152;1.1
0.2262;3.4018;7.46443;1.1
-1.28502;3.51496;6.3103;1.1
-2.23004;3.56245;5.95307;1.1
-2.52016;3.5391;6.44603;1.1
-2.13808;3.44757;7.74802;1.1
-1.14243;3.29798;9.73025;1.1
0.335316;3.10653;12.1944;1.1
2.09907;2.89308;14.9047;1.1
3.8962;2.67658;17.6506;1.1
5.48588;2.46121;20.4251;1.1
6.93262;2.23651;23.3609;1.1
8.36539;2.0142;26.2661;1.1
9.74154;1.81815;28.8162;1.1
10.9629;1.67081;30.7181;1.1
11.928;1.58945;31.7521;1.1
12.5559;1.5841;31.7954;1.1
12.8003;1.65636;30.8354;1.1
12.658;1.79929;28.9699;1.1
12.173;1.99826;26.3942;1.1
11.438;2.23279;23.3747;1.1
10.6001;2.47974;20.2037;1.1
9.87972;2.72139;17.0813;1.1
9.39627;2.96354;13.9011;1.1
8.97991;3.2097;10.6504;1.1
8.52154;3.44098;7.61678;1.1
8.00553;3.63447;5.12403;1.1
7.45263;3.77031;3.44567;1.1
6.89926;3.83467;2.76726;1.1
6.38628;3.82152;3.16433;1.1
5.95065;3.73337;4.59375;1.1
5.6177;3.58104;6.8989;1.1
5.39279;3.3824;9.82848;1.1
5.24782;3.16024;13.0699;1.1
5.08482;2.93816;16.3141;1.1
4.70933;2.72528;19.4752;1.1
4.15276;2.51073;22.6984;1.1
3.63432;2.30094;25.8469;1.1
3.29644;2.11495;28.6236;1.1
3.22282;1.97213;30.7397;1.1
3.45302;1.88792;31.9706;1.1
3.98683;1.87159;32.1867;1.1
4.78866;1.925;31.3697;1.1
5.79481;2.04226;29.6155;1.1
6.92492;2.21031;27.1242;1.1
8.10015;2.41021;24.1777;1.1
9.27934;2.61924;21.1026;1.1
10.5547;2.81722;18.1614;1.1
12.0597;3.00723;15.2824;1.1
13.6165;3.19683;12.3977;1.1
14.9751;3.37578;9.70472;1.1
15.9426;3.52882;7.45812;1.1
16.386;3.64184;5.88397;1.1
16.237;3.70452;5.14117;1.1
15.4958;3.71189;5.29921;1.1
14.2277;3.66509;6.32816;1.1
12.5528;3.57141;8.10026;1.1
10.6266;3.44373;10.4019;1.1
8.60618;3.29958;12.9542;1.1
6.56999;3.1597;15.45;1.1
4.38176;3.03535;17.7613;1.1
2.03674;2.91571;20.0404;1.1
-0.184973;2.7983;22.2617;1.1
-2.00053;2.69083;24.2566;1.1
-3.18364;2.60298;25.8411;1.1
-3.58414;2.54331;26.8633;1.1
-3.14118;2.51766;27.2281;1.1
-1.88785;2.52825;26.9119;1.1
0.054791;2.57313;25.9679;1.1
2.49474;2.64617;24.523;1.1
5.19941;2.73718;22.7699;1.1
7.95376;2.83161;20.9583;1.1
10.7252;2.91189;19.3408;1.1
13.6578;2.9784;17.8812;1.1
16.5889;3.04373;16.4384;1.1
19.1955;3.11031;15.0478;1.1
21.1801;3.17564;13.8084;1.1
22.3156;3.23574;12.8247;1.1
22.47;3.28657;12.1815;1.1
21.6206;3.3249;11.9289;1.1
19.8551;3.34892;12.0734;1.1
17.3601;3.3587;12.5737;1.1
14.3964;3.35673;13.3393;1.1
11.2552;3.34882;14.226;1.1
8.15428;3.34701;15.0186;1.1
5.01021;3.36301;15.5714;1.1
1.77741;3.38646;16.0391;1.1
-1.27071;3.40459;16.5415;1.1
-3.80785;3.4111;17.0964;1.1
-5.55345;3.40319;17.6826;1.1
-6.31211;3.38054;18.2628;1.1
-5.99699;3.34479;18.7952;1.1
-4.63973;3.29909;19.2427;1.1
-2.38663;3.24748;19.5801;1.1
0.518978;3.19408;19.8022;1.1
3.76853;3.14171;19.9359;1.1
7.04765;3.0887;20.0722;1.1
10.2349;3.02301;20.4055;1.1
13.4783;2.9422;20.9379;1.1
16.6737;2.86343;21.4523;1.1
19.5276;2.80171;21.8016;1.1
21.7465;2.76767;21.9003;1.1
23.097;2.76788;21.707;1.1
23.4383;2.80465;21.2193;1.1
22.7405;2.87614;20.4696;1.1
21.0883;2.97674;19.518;1.1
18.6725;3.098;18.4418;1.1
15.7686;3.23016;17.318;1.1
12.7014;3.36502;16.1913;1.1
9.75258;3.50363;14.987;1.1
6.88355;3.65738;13.5538;1.1
3.99885;3.81713;12.04;1.1
1.28012;3.96208;10.6974;1.1
-1.01685;4.07426;9.72216;1.1
-2.65945;4.14028;9.25148;1.1
-3.47946;4.15229;9.35901;1.1
-3.39677;4.10858;10.0514;1.1
-2.43066;4.01362;11.2703;1.1
-0.699444;3.87732;12.9026;1.1
1.59065;3.71363;14.7977;1.1
4.16528;3.53792;16.7996;1.1
6.71566;3.36148;18.8168;1.1
9.07601;3.17836;20.9682;1.1
11.3899;2.98334;23.2959;1.1
13.6596;2.79531;25.5351;1.1
15.7216;2.6372;27.401;1.1
17.3894;2.5284;28.6622;1.1
18.5047;2.48264;29.1609;1.1
18.9647;2.50653;28.827;1.1
18.7372;2.59892;27.6831;1.1
17.8674;2.7512;25.8403;1.1
16.4754;2.94838;23.4819;1.1
14.7483;3.17131;20.8355;1.1
12.9311;3.40054;18.1204;1.1
11.2883;3.62744;15.4004;1.1
9.82275;3.8627;12.5255;1.1
8.37974;4.10001;9.61706;1.1
6.98108;4.31627;6.99323;1.1
5.72395;4.48841;4.95548;1.1
4.71511;4.59798;3.739;1.1
4.04351;4.63337;3.48663;1.1
3.76424;4.59121;4.23388;1.1
3.88894;4.47666;5.90604;1.1
4.38115;4.30279;8.32818;1.1
5.15485;4.08896;11.2484;1.1
6.07135;3.85794;14.3781;1.1
6.92289;3.62976;17.4821;1.1
7.5342;3.4036;20.6092;1.1
8.03576;3.1716;23.8416;1.1
8.56415;2.94952;26.9295;1.1
9.14377;2.76035;29.5465;1.1
9.75526;2.62496;31.405;1.1
10.3615;2.55867;32.2989;1.1
10.9205;2.56931;32.1278;1.1
11.394;2.65624;30.909;1.1
11.7554;2.81038;28.7749;1.1
11.9975;3.01524;25.9576;1.1
12.1437;3.24888;22.7585;1.1
12.2753;3.48734;19.4952;1.1
12.5817;3.71612;16.3297;1.1
13.1066;3.94464;13.1209;1.1
13.6385;4.17181;9.9293;1.1
