x;y;z;r
5.54108;1.97765;20.5751;1.8
8.02921;2.04133;19.2541;1.8
10.6559;2.0947;18.0474;1.8
13.2357;2.14803;16.8514;1.8
15.4832;2.20288;15.7057;1.8
17.1442;2.25718;14.6939;1.8
18.0302;2.30775;13.9013;1.8
18.0392;2.35133;13.3951;1.8
17.1669;2.38531;13.2132;1.8
15.5054;2.40818;13.3567;1.8
13.2322;2.42002;13.7863;1.8
10.5852;2.42293;14.4213;1.8
7.82179;2.42216;15.1328;1.8
5.10546;2.42905;15.7269;1.8
2.33082;2.45131;16.1185;1.8
-0.49108;2.47766;16.463;1.8
-3.10121;2.49773;16.8497;1.8
-5.21768;2.50622;17.2921;1.8
-6.60558;2.50071;17.7736;1.8
-7.10878;2.48096;18.2638;1.8
-6.66848;2.44855;18.7279;1.8
-5.32998;2.40649;19.1336;1.8
-3.23735;2.35861;19.4583;1.8
-0.616067;2.30881;19.696;1.8
2.25716;2.25961;19.8711;1.8
5.11536;2.20875;20.0726;1.8
7.90672;2.1451;20.4673;1.8
10.7529;2.07034;21.0059;1.8
13.5152;2.00021;21.4975;1.8
15.9321;1.94747;21.8202;1.8
17.755;1.92111;21.9015;1.8
18.7933;1.92649;21.7076;1.8
18.941;1.96513;21.2401;1.8
18.1896;2.03477;20.5321;1.8
16.6305;2.12987;19.6419;1.8
14.4446;2.24245;18.642;1.8
11.8826;2.36359;17.6031;1.8
9.23116;2.48647;16.5591;1.8
6.70554;2.6143;15.4188;1.8
4.22386;2.75559;14.0807;1.8
1.74623;2.89859;12.7176;1.8
-0.547146;3.0251;11.5458;1.8
-2.4354;3.11982;10.7313;1.8
-3.72591;3.17168;10.3878;1.8
-4.28633;3.17466;10.5711;1.8
-4.06302;3.12825;11.2767;1.8
-3.089;3.03739;12.4426;1.8
-1.4818;2.9117;13.9595;1.8
0.567479;2.76408;15.6881;1.8
2.81232;2.60815;17.4907;1.8
4.98639;2.45221;19.3088;1.8
7.00379;2.28848;21.2694;1.8
8.99971;2.1165;23.35;1.8
10.9358;1.95486;25.2989;1.8
12.6632;1.82332;26.8715;1.8
14.0244;1.73813;27.8744;1.8
14.8914;1.71024;28.1819;1.8
15.1869;1.74417;27.7476;1.8
14.8958;1.83757;26.6074;1.8
14.0692;1.98164;24.8736;1.8
12.8219;2.16223;22.7193;1.8
11.3249;2.36201;20.3502;1.8
9.79866;2.56446;17.95;1.8
8.45334;2.76591;15.5249;1.8
7.23266;2.9755;12.9589;1.8
6.02405;3.183;10.4197;1.8
4.86475;3.36759;8.19032;1.8
3.84041;3.50968;6.52643;1.8
3.03955;3.59418;5.61989;1.8
2.53282;3.61237;5.57774;1.8
2.36064;3.56284;6.41099;1.8
2.52575;3.45163;8.03435;1.8
2.9898;3.29153;10.2774;1.8
3.6719;3.1004;12.9076;1.8
4.44367;2.89843;15.6701;1.8
5.1128;2.70107;18.39;1.8
5.5751;2.50328;21.1605;1.8
5.97875;2.302;23.9923;1.8
6.41895;2.11369;26.6348;1.8
6.90937;1.95834;28.8054;1.8
7.43185;1.85331;30.2653;1.8
7.95467;1.81064;30.8527;1.8
8.44213;1.8356;30.5016;1.8
8.86201;1.92599;29.2498;1.8
9.1922;2.07239;27.2339;1.8
9.42801;2.25918;24.6731;1.8
9.59398;2.4665;21.8401;1.8
9.77558;2.67375;19.0048;1.8
10.1425;2.87297;16.2419;1.8
10.6673;3.07363;13.4248;1.8
11.1587;3.27015;10.6729;1.8
11.4925;3.44589;8.24539;1.8
11.5956;3.58397;6.39429;1.8
11.4336;3.6709;5.31549;1.8
11.0065;3.69861;5.12216;1.8
10.3454;3.66545;5.83028;1.8
9.50601;3.57658;7.35612;1.8
8.55833;3.44339;9.52506;1.8
7.57118;3.28241;12.0912;1.8
6.58048;3.11346;14.7695;1.8
5.50578;2.95415;17.331;1.8
4.23054;2.8018;19.8382;1.8
2.91007;2.64979;22.3504;1.8
1.76247;2.50708;24.6952;1.8
0.955941;2.38697;26.6506;1.8
0.606695;2.30178;28.0191;1.8
0.774191;2.26051;28.6623;1.8
