Lx;Ly;Lz
30.3886;-11340.7;-1758.77
30.3975;-11340.1;-1758.73
30.408;-11339.5;-1758.68
30.413;-11339.1;-1758.65
30.4146;-11339;-1758.65
30.4155;-11339;-1758.64
30.4164;-11338.9;-1758.64
30.4173;-11338.8;-1758.63
30.4183;-11338.8;-1758.63
30.4192;-11338.7;-1758.63
30.42;-11338.7;-1758.62
30.4209;-11338.6;-1758.62
30.4223;-11338.5;-1758.61
30.4276;-11338.2;-1758.59
30.4392;-11337.4;-1758.53
30.4468;-11336.9;-1758.5
30.4493;-11336.8;-1758.49
30.4504;-11336.7;-1758.48
30.4513;-11336.6;-1758.48
30.4522;-11336.6;-1758.47
30.4531;-11336.5;-1758.47
30.4541;-11336.5;-1758.46
30.4549;-11336.4;-1758.46
30.4557;-11336.3;-1758.46
30.4568;-11336.3;-1758.45
30.4597;-11336.1;-1758.44
30.4699;-11335.4;-1758.39
30.4796;-11334.8;-1758.35
30.4837;-11334.5;-1758.33
30.4851;-11334.4;-1758.32
30.486;-11334.4;-1758.32
30.4869;-11334.3;-1758.31
30.4878;-11334.3;-1758.31
30.4888;-11334.2;-1758.3
30.4897;-11334.1;-1758.3
30.4905;-11334.1;-1758.29
30.4914;-11334;-1758.29
30.4931;-11333.9;-1758.28
30.4997;-11333.5;-1758.25
30.511;-11332.8;-1758.2
30.5175;-11332.3;-1758.17
30.5195;-11332.2;-1758.16
30.5205;-11332.1;-1758.15
30.5214;-11332.1;-1758.15
30.5224;-11332;-1758.15
30.5233;-11332;-1758.14
30.5242;-11331.9;-1758.14
30.5251;-11331.8;-1758.13
30.5259;-11331.8;-1758.13
30.527;-11331.7;-1758.12
30.5307;-11331.5;-1758.11
30.5418;-11330.7;-1758.06
30.5508;-11330.2;-1758.01
30.5541;-11329.9;-1758
30.5553;-11329.9;-1757.99
30.5562;-11329.8;-1757.99
30.5571;-11329.8;-1757.98
30.5581;-11329.7;-1757.98
30.559;-11329.6;-1757.98
30.5599;-11329.6;-1757.97
30.5607;-11329.5;-1757.97
30.5616;-11329.5;-1757.96
30.5637;-11329.3;-1757.95
30.5718;-11328.8;-1757.92
30.5825;-11328.1;-1757.87
30.5879;-11327.7;-1757.84
30.5896;-11327.6;-1757.83
30.5906;-11327.6;-1757.83
30.5915;-11327.5;-1757.82
30.5924;-11327.5;-1757.82
30.5934;-11327.4;-1757.82
30.5943;-11327.3;-1757.81
30.5951;-11327.3;-1757.81
30.596;-11327.2;-1757.8
30.5973;-11327.1;-1757.8
30.6019;-11326.8;-1757.78
30.6134;-11326.1;-1757.72
30.6215;-11325.6;-1757.68
30.6242;-11325.4;-1757.67
30.6253;-11325.3;-1757.67
30.6262;-11325.3;-1757.66
30.6271;-11325.2;-1757.66
30.6281;-11325.1;-1757.65
30.629;-11325.1;-1757.65
30.6299;-11325;-1757.65
